Latitude,Longitude,cidade,estado
-29.404815797718143,-50.867554337515564,gramado,RS
-20.77209400873082,-41.67474582346433,guacui,ES
-26.17366613918695,-52.67762209512517,pato branco,PR
-17.10571401716328,-40.30224905106837,itanhem,BA
-10.220598894161942,-48.318866485846,palmas,TO
-31.325025616004048,-54.09837911950066,bage,RS
-23.27818961525815,-46.72711326184469,francisco morato,SP
-22.659781075940003,-47.1824959656146,cosmopolis,SP
-21.885191508007672,-42.58594135281997,carmo,RJ
-22.765270993760026,-41.924708037103876,armacao dos buzios,RJ
-13.29936394309901,-44.21394365711019,santa maria da vitoria,BA
-19.610248592212812,-44.03893286184965,pedro leopoldo,MG
-18.193334916873138,-45.20125291616851,tres marias,MG
-4.172438901790793,-38.239351145098695,cascavel,CE
-22.20326087906717,-42.658858518260374,santo antonio de padua,RJ
-23.26993723098335,-47.53393567627948,porto feliz,SP
-26.82962213132209,-48.84441304464017,gaspar,SC
-27.755317675201418,-48.65279729148945,palhoca,SC
-22.162848868176056,-45.947068062109516,pouso alegre,MG
-4.053305991421475,-38.66562825839827,guaiuba,CE
-27.04469694072647,-50.91267468489016,fraiburgo,SC
-27.694895672896372,-52.05409511889583,aurea,RS
-22.88930370645352,-48.463217935982364,botucatu,SP
-19.023444816738277,-57.64778168867101,corumba,MS
-23.351704812977694,-46.7963220101862,cajamar,SP
-22.7176878798455,-43.56257792988548,queimados,RJ
-23.434604741406154,-52.29216069971385,sao jorge do ivai,PR
-25.27463976482856,-52.55304240921878,nova laranjeiras,PR
-21.306188556480464,-46.71646214086209,guaxupe,MG
-21.792151861865847,-50.880022293326974,osvaldo cruz,SP
-29.520498712729548,-53.5778998785527,ivora,RS
-22.184622218637966,-52.719431859383306,anaurilandia,MS
-23.641446105945306,-45.39238140320921,caraguatatuba,SP
-6.2277747724114985,-42.69069064413434,regeneracao,PI
-21.4022774368914,-50.477667546627586,bilac,SP
-23.948180721012072,-51.3339078018374,faxinal,PR
-6.435284804198105,-35.2209047819553,pedro velho,RN
-19.778336344359335,-47.933202731018284,uberaba,MG
-30.081882699242918,-50.976023436008724,viamao,RS
-22.368156772145134,-45.82902020359032,cachoeira de minas,MG
-4.254015128922634,-43.01342634179556,coelho neto,MA
-21.31426627737271,-49.055740985161286,itajobi,SP
-20.97133211056738,-46.122094679531074,carmo do rio claro,MG
-22.917544064809206,-43.094089180300955,marica,RJ
-13.824945343496019,-57.987956977963194,campo novo do parecis,MT
2.8161462128548562,-60.70464044289332,boa vista,RR
-13.326072132546258,-39.08222502376005,valenca,BA
-17.480719922086152,-47.88107738384889,ipameri,GO
-29.315941460066046,-51.53901465301685,carlos barbosa,RS
-16.41544797990685,-50.00077605083253,anicuns,GO
-19.200069029238335,-40.304485603427864,rio bananal,ES
-6.754507365456199,-39.043281938880995,lavras da mangabeira,CE
-20.7371707432108,-49.582000353432505,balsamo,SP
-21.372651420934847,-48.230897351389885,guariba,SP
-29.37641123030227,-51.36898918501444,sao vendelino,RS
-24.02872583141008,-52.38612845383706,campo mourao,PR
-4.693246462992815,-37.66708943475672,aracati,CE
-16.04523000980919,-48.27895324032263,santo antonio do descoberto,GO
-27.695635264765436,-48.76502374167397,santo amaro da imperatriz,SC
-19.949577562687285,-44.1801699692472,betim,MG
-20.364893379995316,-43.350794704113405,vicosa,MG
-4.248066311107271,-47.73813052047204,dom eliseu,PA
-25.470487609323044,-49.482466146952234,campo largo,PR
-28.029542499999945,-49.14984724505665,santa rosa de lima,SC
-22.108465007845595,-41.471159244242955,quissama,RJ
-21.045402312079553,-51.10105654543884,mirandopolis,SP
-23.752166217943312,-47.8986852028528,itapevi,SP
-26.055752533584847,-53.10046271949997,francisco beltrao,PR
-12.616421785927727,-38.30173487499998,dias d'avila,BA
-21.470005618815684,-49.21803428352842,novo horizonte,SP
-23.535647683878835,-46.34868288696376,poa,SP
-12.637273826025723,-52.39283608200595,querencia,MT
-20.46724268962439,-54.642852458656485,campo grande,MS
-23.20224794095987,-46.789608557560655,pedreira,SP
-24.719427266953165,-47.87915554394547,pariquera-acu,SP
-11.274701661687871,-37.79068712598641,itabaianinha,SE
-19.6832827335548,-44.89023943867788,pitangui,MG
-22.828658343858912,-42.312073954387046,araruama,RJ
-10.402053002809266,-40.46361166368539,campo formoso,BA
-14.249216697155127,-42.867758242383886,guanambi,BA
-21.532603284617608,-48.75959790097582,itapolis,SP
-22.34242999733104,-48.82406608717008,pederneiras,SP
-20.275598721131722,-43.837855962736555,itabirito,MG
-20.89658514693163,-40.78226742348997,itaipava,ES
-29.53082051119464,-49.874315904785306,arroio do sal,RS
-28.247048781022073,-51.53793546802704,lagoa vermelha,RS
-18.780688161538265,-40.98436915989319,mantena,MG
-24.309305570328107,-46.965614563490014,peruibe,SP
-28.483054862731223,-49.02812776343964,tubarao,SC
-19.796015469417476,-42.88921850787188,bonfim,MG
-30.004084860539344,-51.040903419860655,alvorada,RS
-18.952931980443495,-46.99260417648957,patrocinio,MG
-17.563019659816575,-52.609483440808944,mineiros,GO
-14.807797999005611,-39.300655981410486,itabuna,BA
